"MG_FAR_ToFarunitNUM_NO","MG_FAR_ind_0no_1rout_2sometimes","MG_FAR_NestmatdaysNUM_NO","MG_FAR_nestmatamount","MG_FAR_nestmat_NO","MG_FAR_ox_0_13_46_7","MG_FAR_obstex_preox","MG_FAR_far_assist_CAT","MG_FAR_farassist_MAY_NO","MG_FAR_piglet_rem_ageNUM_NO","MG_FAR_piglet_rem_amountCAT","MG_FAR_pigletremaount_NUM_NO","MG_FAR_piglet_addfeedage","MG_FAR_bed_yn","MG_FAR_bed12345_NO","MG_FAR_bedamount","MG_FAR_root_yn","MG_FAR_toy","MG_FAR_toynum_NO","MG_FAR_rootamount","MG_FAR_dirt_NUM_NO","MG_FAR_dirtmed","MG_FAR_diranim_NUM_NO","MG_FAR_diranimmed","MG_FAR_toytoinen_MIKA_NO","OUT_SOW_mort_proNUM","OUT_SOW_mort_dic","OUT_SOW_totremproNUM","OUT_SOW_totrem_dic","OUT_SOW_cullproNUM","OUT_SOW_cull_dic"
3,0,3,2,"STR",1,"0","<6","WASH_GLO_LUBR","2","1","3","<7",1,2,2,1,1,4,2,10,1,10,1,"2",10,1,24,0,14,0
7,2,2,1,"STR_CUT",1,"1","<6","WASH_HANDWASH_GLO_LUBR","1","1","4","7-14",1,12,2,1,1,3,2,20,2,20,2,"2",15,1,38,0,24,0
4,2,4,2,"STR",3,"0","50","_GLO_LUBR","0,5","3","30","7-14",1,12,3,1,1,3,2,10,1,NA,NA,"3",17,1,52,1,35,0
4,0,4,3,"heina",1,"1","20-50","_GLO_LUBR","0,5","4","50","7-14",0,0,0,1,1,4,2,10,1,0,1,"2",12,1,68,1,56,1
5,2,5,3,"STR",1,"0","20-50","_GLO_LUBR","0,5","2","20","<7",1,14,3,0,0,NA,0,0,1,0,1,"1",6,0,45,0,39,1
7,0,7,3,"STR",1,"0","<6","WASH_HANDWASH_LUBR","0,5","1","5","7-14",1,12,3,1,1,24,2,30,2,NA,NA,"3",7,0,57,1,50,1
7,1,0,0,"0",3,"0","6-20","WASH_GLO_LUBR","0,5","4","60","7-14",0,0,4,0,1,3,0,30,2,0,1,"1",19,1,61,1,42,1
5,2,5,2,"STR",3,"0","20-50","WASH_HANDWASH_GLO_LUBR","0,75","1","7,5","<7",1,2,3,1,0,NA,2,0,1,0,1,"2",11,1,41,0,35,0
5,2,5,2,"STR",3,"1","50","_GLO_LUBR","1","2","20","<7",0,0,4,1,0,NA,2,0,1,10,1,"1",6,0,44,0,33,0
7,0,1,2,"STR_CUT",1,"1","<6","WASH_HANDWASH_GLO_LUBR","1","1","3","7-14",1,2,1,1,0,0,1,0,1,0,1,"2",14,1,121,1,107,1
5,2,1,3,"_NWS",3,"0","6-20","GLO_LUBR","0,5","3","22","7-14",0,0,4,0,1,1,0,0,1,0,1,"0",16,1,58,1,42,1
