"MG_feedtimes_preg","MG_feedtimes_far","MG_feed_liq_solid","MG_sowsincratespostmix","MG_materialtogetherwithmixing_0no_1yes","MG_rootingmat","MG_mixing_1ok_2tmp_3notmp_4oktmp","MG_owngilts","MG_owngilts.1","MG_instriple","MG_instriple.1","MG_aveins","MG_ind_feed","MG_BR_bedtype","MG_BR_amount","MG_BR_root01","MG_BR_toy01","MG_sickpen","MG_BR_dirt","MG_BR_feedtype","MG_BR_feedclean","MG_BR_dirtanim","MG_BR_ster","MG_EPHAR_kaNUM","MG_PR_type","MG_PR_root","MG_PR_toy","MG_rootamount","MG_PR_kuivaliete","MG_PR_ruok_0nonlock_1lock","MG_PR_feedtype","MG_PR_dirt","MG_PR_ster","MG_LPHAR_kaNUM","MG_FAR_bed","MG_FAR_bed12345","MG_FAR_bedamount","MG_FAR_root","MG_FAR_toy","MG_FAR_toynum","MG_FAR_rootamount","MG_FAR_dirt","MG_FAR_diranim","MG_PREG_toy","MG_BR_toy","MG_FAR_toytoinen","MG_SOWSperworker","OUT_SOWmortpro","OUT_SOWmortdic","OUT_SOWtotremoproNUM","OUT_SOWtotremdic","OUT_SOWcullproNUM","OUT_SOWculdic","OUT_JOINTproNUM","OUT_ABSproNUM","OUT_PLEURproNUM","OUT_PNEUMproNUM","OUT_LIVERproNUM","OUT_ORGANproNUM","OUT_SHOULDERproNUM","OUT_ALLproNUM","OUT_PARTproNUM","OUT_ANYproNUM","OUT_ALL_01","OUT_PART_01","OUT_ANY_01"
2,3,"liq","0",1,1,3,0,0,"10","1","2",1,12,3,"1","0",1,30,4,"0",30,0,"0",13,1,4,2,2,1,4,30,0,"0",1,2,2,1,0,NA,2,20,50,"2","2","2",75,8,0,48,1,40,1,2,7,14,2,0,0,7,5,16,33,2,2,2
2,3,"sol","0",1,0,2,100,1,"0","0","2",0,1,3,"12","2",1,10,3,"0",0,0,"0,15",2,1,2,2,12,0,3,10,0,"0,15",1,12,1,1,0,NA,1,0,0,"3","3","1",10,2,0,31,0,29,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,4,"liq","0",1,1,1,100,1,"0","0","2",0,5,0,"1","3",1,20,4,"0",0,0,"0,4",1,1,0,1,12,0,1,40,0,"0,4",0,0,4,1,1,3,2,10,0,"3","2","2",87,5,0,43,0,38,1,2,4,1,0,0,2,2,1,8,11,1,1,1
2,3,"solid","0",1,1,3,80,1,"5","1","2",1,1,3,"1","0",1,0,4,"0",0,1,"0,1",1,1,0,1,1,1,4,10,0,"",1,4,3,1,0,NA,2,0,30,"2","group","2",105,7,0,45,0,38,1,5,16,0,0,0,0,5,2,28,28,2,2,2
2,4,"liq","0",1,0,4,100,1,"noinfo","noinfo","2",1,0,4,"0","1",0,0,4,"1",20,0,"0,4",2,0,4,0,2,0,2,80,1,"0,8",0,0,4,0,1,4,2,0,15,"2","2","2",167,8,0,35,0,27,0,1,9,2,1,0,0,3,1,13,15,1,2,1
2,2,"sol","0",1,1,2,0,0,"0","0","2",1,2,3,"0","1",1,0,4,"0",0,0,"0,25",1,1,0,1,1,1,4,0,0,"",1,2,3,0,1,24,2,NA,0,"noinfo","noinfo","noinfo",70,4,0,34,0,30,0,5,7,14,0,0,0,2,2,7,23,2,1,2
3,3,"liq","5",1,2,1,100,1,"10","1","2",1,0,4,"0","0",1,100,4,"0",90,1,"0,3",2,0,2,0,2,1,4,10,0,"0,8",0,0,4,1,1,4,1,10,20,"2","0","2",98,5,0,49,1,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,"liq","2",0,0,2,0,0,"noinfo","noinfo","2",0,0,4,"0","1",0,10,4,"1",10,0,"1",3,0,0,0,2,1,4,30,0,"",1,2,3,0,0,0,0,30,30,"0","1","1",117,23,1,69,1,45,1,5,9,32,1,0,0,12,1,19,49,1,2,2
2,3,"liq","fewhours",1,2,2,90,1,"1","1","2",0,2,2,"1","1",1,NA,4,"1",10,0,"0,1",2,1,5,1,2,1,4,30,0,"",1,2,2,1,1,5,2,20,30,"2","1","2",135,11,1,45,0,34,0,2,7,1,1,0,0,1,1,11,12,1,1,1
1,3,"liq","0",1,1,2,100,1,"10","1","2,1",1,0,4,"n","1",1,0,4,"0",10,0,"0,9",2,1,0,2,2,0,2,80,1,"0,8",1,24,2,1,1,4,2,NA,NA,"2","1","3",147,14,1,58,1,45,1,3,5,2,1,0,0,2,1,11,12,1,1,1
